Name_1,Name_2,Name_3,Name_4,Name_5,Name_6,Name_7,References,Notes/References,,
Salpingoecidae,Monosigidae,Codonosigidae,NA,NA,NA,NA,NCBI,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=81529&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Pezizaceae,Terfeziaceae,NA,NA,NA,NA,NA,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=612937#null,,,
Pezizales,Pezizomycetes,NA,NA,NA,NA,NA,Adl et al. 2019,,,
Fungi incertae sedis,Fungi,NA,NA,NA,NA,NA,dylans common sense,,,
Eumetazoa,Metazoa,Animalia,NA,NA,NA,NA,Adl et al 05/12/19,,,
Bilateria,Triploblastica,NA,NA,NA,NA,NA,http://tolweb.org/tree?group=Bilateria,,,
Asterozoa,Stelleroidea,NA,NA,NA,NA,NA,http://www.marinespecies.org/aphia.php?p=taxdetails&id=148743,,,
Aciculata,Errantia,NA,NA,NA,NA,NA,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=914194#null,,,
Palpata,Sedentaria,NA,NA,NA,NA,NA,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=914195#null,,,
Parergodrilidae,Stypocapitellidae,NA,NA,NA,NA,NA,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=67499#null,,,
Polychaeta incertae sedis,Polychaeta,NA,NA,NA,NA,NA,dylans common sense,,,
Heterodonta,Heteroconchia,NA,NA,NA,NA,NA,NCBI,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=6599&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Pilidiophora,Anopla,NA,NA,NA,NA,NA,NCBI,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=6218&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Hexacorallia,Zoantharia,NA,NA,NA,NA,NA,NCBI,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=6102&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Octocorallia,Alcyonaria,NA,NA,NA,NA,NA,NCBI,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=6132&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Hydroidolina,Hydroida,Hydroidomedusae,NA,NA,NA,NA,NCBI,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=37516&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Trachylinae,Automedusae,Trachylina,NA,NA,NA,NA,NCBI,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=37521&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,
Bacillariophycidae,Raphid-pennate,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&id=2836&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,"NCBI places this group within Raphid-pennate diatoms, so we'll map to that here",,
Coscinodiscales,Bacillariophyta_X,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Tree&id=33840&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,,,
Coscinodiscophycidae,Coscinodiscophyceae,Bacillariophyta_X,NA,NA,NA,NA,http://www.marinespecies.org/aphia.php?p=taxdetails&id=148971,ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Tree&id=33840&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock,"NCBI places within one another, WORMS says synonyms. Both are within Baccilariophyta, so including all as possible synonyms",
